name,team,primary_position,salary,avg_pts,proj_pts_dk,ceiling,floor,value,proj_own,gpp_score,matchup,game_total
Stephon Castle,SAS,SG,7000,35.72,35.91,48.77,23.05,5.13,49.4,43.3,LAC@SAS,218.5
Brandon Miller,CHA,SF,7700,35.8,35.83,48.67,22.99,4.653,50.2,43.14,MIA@CHA,216.5
Zion Williamson,NOP,PF,7900,36.31,35.28,47.93,22.63,4.466,50.4,42.538,NOP@PHX,222.5
De'Aaron Fox,SAS,PG,6800,34.34,34.52,46.9,22.14,5.076,48.6,41.91,LAC@SAS,218.5
Jrue Holiday,POR,PG,7500,34.37,34.11,46.33,21.89,4.548,49.6,41.366,POR@HOU,229.0
Kon Knueppel,CHA,SG,7200,33.94,33.97,46.14,21.8,4.718,49.1,41.267,MIA@CHA,216.5
Donovan Clingan,POR,C,7600,33.97,33.72,45.8,21.64,4.437,49.5,40.96,POR@HOU,229.0
Payton Pritchard,BOS,PG,7000,32.37,33.35,45.31,21.39,4.764,48.5,40.674,DAL@BOS,224.5
Shaedon Sharpe,POR,SG,7100,33.45,33.2,45.1,21.3,4.676,48.6,40.5,POR@HOU,229.0
Aaron Gordon,DEN,PF,6600,31.48,32.95,44.76,21.14,4.992,47.0,40.394,NYK@DEN,230.0
Miles Bridges,CHA,PF,6400,32.87,32.9,44.69,21.11,5.141,46.0,40.439,MIA@CHA,216.5
Dejounte Murray,NOP,PG,6400,33.75,32.8,44.55,21.05,5.125,45.9,40.34,NOP@PHX,222.5
Tyler Herro,MIA,PG,7400,33.94,32.36,43.96,20.76,4.373,48.5,39.616,MIA@CHA,216.5
Jabari Smith Jr.,HOU,PF,6700,31.1,32.34,43.94,20.74,4.827,47.0,39.749,POR@HOU,229.0
Grayson Allen,PHX,SG,7300,31.59,32.22,43.77,20.67,4.414,48.1,39.507,NOP@PHX,222.5
Josh Hart,NYK,SG,6500,32.13,31.87,43.29,20.45,4.903,45.8,39.362,NYK@DEN,230.0
Norman Powell,MIA,SG,6500,33.05,31.51,42.8,20.22,4.848,45.6,38.997,MIA@CHA,216.5
Dillon Brooks,PHX,PF,6800,30.78,31.4,42.65,20.15,4.618,46.8,38.76,NOP@PHX,222.5
Mikal Bridges,NYK,SF,6000,31.55,31.3,42.51,20.09,5.217,43.6,38.971,NYK@DEN,230.0
Darius Garland,LAC,PG,6900,32.49,31.23,42.42,20.04,4.526,46.8,38.58,LAC@SAS,218.5
OG Anunoby,NYK,PF,6600,31.27,31.02,42.14,19.9,4.7,45.6,38.479,NYK@DEN,230.0
Coby White,CHA,PG,5200,30.68,30.71,41.72,19.7,5.906,41.3,38.579,MIA@CHA,216.5
Collin Gillespie,PHX,PG,6700,29.7,30.3,41.15,19.45,4.522,45.9,37.675,NOP@PHX,222.5
Saddiq Bey,NOP,SF,6600,31.08,30.2,41.03,19.37,4.576,45.3,37.638,NOP@PHX,222.5
