name,team,primary_position,salary,avg_pts,proj_pts_dk,ceiling,floor,proj_own,gpp_score,dnp_risk,matchup
DaRon Holmes II,DEN,C,3000,8.22,7.1,10.81,3.17,2.3,18.031,0.2,DEN@OKC
Nikola Topic,OKC,PG,3000,7.3,6.46,9.84,2.9,2.3,17.289,0.2,DEN@OKC
Malevy Leons,GSW,PF,3000,7.32,6.15,9.45,2.85,2.2,13.722,0.2,GSW@UTA
L.J. Cryer,GSW,PG,3300,7.3,6.14,9.44,2.84,3.2,13.635,0.2,GSW@UTA
Ariel Hukporti,NYK,C,3000,7.12,6.14,9.45,2.76,2.1,16.995,0.2,NYK@LAC
Mohamed Diawara,NYK,PF,3500,6.68,5.76,8.86,2.6,3.5,16.406,0.2,NYK@LAC
Cam Christie,LAC,SG,3000,6.42,5.38,8.27,2.53,2.1,16.097,0.2,NYK@LAC
TyTy Washington Jr.,LAC,PG,3000,6.25,5.3,8.15,2.48,2.0,16.015,0.2,NYK@LAC
Kevin McCullar Jr.,NYK,PF,3000,5.67,4.89,7.51,2.21,2.0,15.529,0.2,NYK@LAC
Riley Minix,CLE,SF,3000,5.17,4.36,6.71,2.03,2.0,14.916,0.2,PHI@CLE
Kyle Lowry,PHI,PG,3200,5.19,4.56,6.94,1.99,2.7,15.034,0.2,PHI@CLE
Brooks Barnhizer,OKC,SF,3200,4.96,4.41,6.71,1.97,2.7,14.858,0.2,DEN@OKC
Dillon Jones,NYK,C,3000,5.0,4.32,6.64,1.94,1.8,14.884,0.2,NYK@LAC
Tristan Enaruna,CLE,SF,3000,4.81,4.06,6.24,1.9,1.8,14.579,0.2,PHI@CLE
E.J. Liddell,BKN,C,3000,3.98,3.37,5.17,1.58,1.8,13.764,0.2,MEM@BKN
Johni Broome,PHI,C,3000,4.04,3.59,5.44,1.55,1.7,13.992,0.2,PHI@CLE
Norchad Omier,LAC,PF,3000,3.5,2.97,4.57,1.39,1.7,13.314,0.2,NYK@LAC
David Roddy,DEN,PF,3200,3.5,3.24,4.85,1.36,2.5,13.47,0.2,DEN@OKC
Trey Jemison,NYK,C,3000,3.32,2.87,4.42,1.29,1.6,13.209,0.2,NYK@LAC
Curtis Jones,DEN,PG,3000,3.29,2.92,4.42,1.28,1.6,13.222,0.2,DEN@OKC
Pacome Dadiet,NYK,SG,3000,3.1,2.68,4.12,1.2,1.6,12.982,0.2,NYK@LAC
Tyson Etienne,BKN,PG,3000,1.88,1.59,2.44,0.74,1.5,11.712,0.2,MEM@BKN
