Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
60,5086315929,edb11 (1/4),0,306.5,C Nikola Jokic F Tristan da Silva G Killian Hayes PF Daeqwon Plowden PG Dejounte Murray SF Kawhi Leonard SG Landry Shamet UTIL Darius Garland,,Christian Braun,SG,2.41%,32
60,5086360973,bkayjac (1/20),0,306.5,C Nikola Jokic F Daeqwon Plowden G Darius Garland PF Tristan da Silva PG Dejounte Murray SF Kawhi Leonard SG Landry Shamet UTIL Killian Hayes,,Brandon Miller,F,2.36%,34.75
60,5086379242,Jet411980 (6/20),0,306.5,C Nikola Jokic F Kawhi Leonard G Killian Hayes PF Daeqwon Plowden PG Dejounte Murray SF Tristan da Silva SG Landry Shamet UTIL Darius Garland,,Saddiq Bey,SF,2.31%,22
60,5086423699,LoGiiNHo,0,306.5,C Nikola Jokic F Kawhi Leonard G Killian Hayes PF Tristan da Silva PG Dejounte Murray SF Daeqwon Plowden SG Landry Shamet UTIL Darius Garland,,Brook Lopez,C,2.30%,8.75
60,5086426861,DoubletheH (1/6),0,306.5,C Nikola Jokic F Daeqwon Plowden G Dejounte Murray PF Tristan da Silva PG Darius Garland SF Kawhi Leonard SG Landry Shamet UTIL Killian Hayes,,Sandro Mamukelashvili,C,2.20%,18.25
60,5086426938,DoubletheH (2/6),0,306.5,C Nikola Jokic F Daeqwon Plowden G Dejounte Murray PF Tristan da Silva PG Darius Garland SF Kawhi Leonard SG Landry Shamet UTIL Killian Hayes,,Cody Williams,G,2.17%,22
60,5086426939,DoubletheH (3/6),0,306.5,C Nikola Jokic F Daeqwon Plowden G Dejounte Murray PF Tristan da Silva PG Darius Garland SF Kawhi Leonard SG Landry Shamet UTIL Killian Hayes,,Cody Williams,F,2.15%,22
60,5086426940,DoubletheH (4/6),0,306.5,C Nikola Jokic F Daeqwon Plowden G Dejounte Murray PF Tristan da Silva PG Darius Garland SF Kawhi Leonard SG Landry Shamet UTIL Killian Hayes,,Christian Braun,G,2.09%,32
60,5086426941,DoubletheH (5/6),0,306.5,C Nikola Jokic F Daeqwon Plowden G Dejounte Murray PF Tristan da Silva PG Darius Garland SF Kawhi Leonard SG Landry Shamet UTIL Killian Hayes,,Moussa Diabate,UTIL,2.08%,19.5
60,5086426942,DoubletheH (6/6),0,306.5,C Nikola Jokic F Daeqwon Plowden G Dejounte Murray PF Tristan da Silva PG Darius Garland SF Kawhi Leonard SG Landry Shamet UTIL Killian Hayes,,LaMelo Ball,G,2.04%,48.5
60,5086476806,rumrunner72 (4/20),0,306.5,C Nikola Jokic F Kawhi Leonard G Killian Hayes PF Daeqwon Plowden PG Dejounte Murray SF Tristan da Silva SG Landry Shamet UTIL Darius Garland,,Saddiq Bey,PF,2.01%,22
60,5086494693,rrsweeting (10/20),0,306.5,C Nikola Jokic F Kawhi Leonard G Killian Hayes PF Daeqwon Plowden PG Dejounte Murray SF Tristan da Silva SG Landry Shamet UTIL Darius Garland,,Ryan Kalkbrenner,C,2.01%,0
60,5086495519,uptowncornbread (6/20),0,306.5,C Nikola Jokic F Kawhi Leonard G Darius Garland PF Daeqwon Plowden PG Dejounte Murray SF Tristan da Silva SG Landry Shamet UTIL Killian Hayes,,Jakob Poeltl,UTIL,2.00%,20.25
60,5086508646,Catapult (10/15),0,306.5,C Evan Mobley F Brice Sensabaugh G Killian Hayes PF Tristan da Silva PG Dejounte Murray SF Bennedict Mathurin SG Desmond Bane UTIL Amen Thompson,,James Harden,PG,1.98%,48.75
60,5086544251,dtP37,0,306.5,C Nikola Jokic F Kawhi Leonard G Killian Hayes PF Tristan da Silva PG Dejounte Murray SF Daeqwon Plowden SG Landry Shamet UTIL Darius Garland,,Anthony Edwards,SG,1.98%,47
60,5086544600,claytankgunner (15/20),0,306.5,C Nikola Jokic F Kawhi Leonard G Killian Hayes PF Daeqwon Plowden PG Dejounte Murray SF Tristan da Silva SG Landry Shamet UTIL Darius Garland,,Evan Mobley,PF,1.97%,45.75
97,5086453451,Kvegas3645 (3/12),0,306.25,C Jakob Poeltl F Kawhi Leonard G Darius Garland PF Tristan da Silva PG Killian Hayes SF Brice Sensabaugh SG Landry Shamet UTIL Nikola Jokic,,Naz Reid,PF,1.96%,21.75
97,5086515694,Catapult (12/15),0,306.25,C Evan Mobley F Bennedict Mathurin G Darius Garland PF Tristan da Silva PG Dejounte Murray SF Nique Clifford SG Killian Hayes UTIL Jalen Brunson,,Dean Wade,PF,1.91%,7.75
99,5086145644,Mousedef (11/20),0,306,C Wendell Carter Jr. F Kawhi Leonard G Darius Garland PF Tristan da Silva PG Killian Hayes SF Bennedict Mathurin SG Landry Shamet UTIL Nikola Jokic,,Naz Reid,F,1.88%,21.75
99,5086323836,dbishop999 (10/20),0,306,C Wendell Carter Jr. F Kawhi Leonard G Killian Hayes PF Tristan da Silva PG Darius Garland SF Bennedict Mathurin SG Landry Shamet UTIL Nikola Jokic,,Jevon Carter,SG,1.88%,16.5
101,5086083508,Rene8480 (3/7),0,305.75,C Nikola Jokic F Desmond Bane G Darius Garland PF Tristan da Silva PG Killian Hayes SF Bennedict Mathurin SG Landry Shamet UTIL Dejounte Murray,,Jalen Suggs,G,1.86%,26
101,5086217041,antp (15/20),0,305.75,C Jakob Poeltl F Miles Bridges G Jalen Brunson PF Tristan da Silva PG Jevon Carter SF Kawhi Leonard SG Nique Clifford UTIL Darius Garland,,Rudy Gobert,C,1.85%,20.75
103,5086451824,PhilipTMatthews (2/20),0,305.5,C Mitchell Robinson F Kawhi Leonard G Killian Hayes PF Tristan da Silva PG Jalen Suggs SF Nique Clifford SG Trey Murphy III UTIL Karl-Anthony Towns,,Kon Knueppel,G,1.81%,39.25
104,5085975239,Satch65 (16/20),0,305.25,C Mitchell Robinson F Kawhi Leonard G Killian Hayes PF Daeqwon Plowden PG Jalen Brunson SF Tristan da Silva SG Landry Shamet UTIL Nikola Jokic,,Jeremiah Fears,SG,1.80%,15
104,5086332719,mjscott8824 (12/20),0,305.25,C Mitchell Robinson F Kawhi Leonard G Killian Hayes PF Daeqwon Plowden PG Jalen Brunson SF Tristan da Silva SG Landry Shamet UTIL Nikola Jokic,,Ryan Kalkbrenner,UTIL,1.76%,0
